trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.02, 'e': 0.2808316217783798}",25,0,12.648633338480748,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.02, 'e': 0.27803730045319414}",20,0,-11.007451402796953,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
129,False,"{'a': 0.02, 'e': 0.27527078308975234}",20,0,-57.26450587624575,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
130,False,"{'a': 0.02, 'e': 0.2725317930340126}",20,6,28.03849686319733,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.02, 'e': 0.2698200563846868}",25,0,-9.523639676340048,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
132,False,"{'a': 0.02, 'e': 0.26713530196585034}",25,8,-28.906093706525564,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.02, 'e': 0.26447726129982396}",25,1,-95.9704870422358,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 2}",1
134,False,"{'a': 0.02, 'e': 0.261845668580326}",25,17,13.725349704338859,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.02, 'e': 0.2592402606458915}",20,4,-34.00342512682849,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.02, 'e': 0.2566607769535559}",35,0,-61.6643178603614,"{0: 29, 1: 0, 2: 4, 3: 1, 4: 1}",1
137,False,"{'a': 0.02, 'e': 0.25410695955280027}",30,16,11.759932335763747,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.02, 'e': 0.25157855305975646}",20,15,8.00694528178791,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.02, 'e': 0.24907530463166816}",20,13,12.856407107850085,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': 0.24659696394160643}",30,1,-15.60890501128473,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 0.02, 'e': 0.2441432831534371}",20,11,-4.649526631866782,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.02, 'e': 0.24171401689703645}",20,12,-34.226382740167885,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.02, 'e': 0.23930892224375455}",25,0,-1.766352032050368,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
144,False,"{'a': 0.02, 'e': 0.23692775868212176}",25,3,-125.60065641187504,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 3}",1
145,False,"{'a': 0.02, 'e': 0.23457028809379765}",25,6,-22.819494062899512,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
146,False,"{'a': 0.02, 'e': 0.23223627472975883}",20,0,-49.42320310766777,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
147,False,"{'a': 0.02, 'e': 0.22992548518672384}",20,0,16.75494071851627,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
148,False,"{'a': 0.02, 'e': 0.22763768838381274}",20,0,-10.277500958360026,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.02, 'e': 0.22537265553943872}",25,0,35.54930642753791,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.02, 'e': 0.22313016014842982}",20,0,27.32032625928791,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.02, 'e': 0.2209099779593782}",20,13,13.20308117431056,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.02, 'e': 0.21871188695221475}",20,0,-33.604351189744285,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
153,False,"{'a': 0.02, 'e': 0.21653566731600707}",20,2,-26.2972131612035,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.02, 'e': 0.21438110142697794}",25,0,-60.96251128942927,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
155,False,"{'a': 0.02, 'e': 0.21224797382674304}",25,1,32.357025428135344,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.02, 'e': 0.21013607120076472}",30,16,5.117174566380014,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.02, 'e': 0.20804518235702046}",30,10,-12.594700950200282,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
158,False,"{'a': 0.02, 'e': 0.20597509820488344}",30,0,30.88826834486955,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.02, 'e': 0.20392561173421342}",25,11,-20.204608081921172,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.02, 'e': 0.20189651799465538}",25,9,25.62739688811917,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.02, 'e': 0.1998876140751445}",30,4,-70.86736868871103,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 2}",1
162,False,"{'a': 0.02, 'e': 0.19789869908361465}",20,0,12.455218675005376,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.02, 'e': 0.19592957412690934}",20,1,27.927927364235316,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.02, 'e': 0.19398004229089189}",30,16,26.421266992768807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.02, 'e': 0.19204990862075408}",20,0,-20.142666406991435,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
166,False,"{'a': 0.02, 'e': 0.1901389801015205}",20,1,2.034449319138735,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.02, 'e': 0.1882470656387468}",25,5,-30.957308686749702,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.02, 'e': 0.18637397603940997}",20,7,23.768372192925536,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.02, 'e': 0.18451952399298926}",25,0,-56.708208441366935,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
170,False,"{'a': 0.02, 'e': 0.18268352405273466}",25,0,25.653416419433405,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.02, 'e': 0.1808657926171221}",25,19,7.016692059799696,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.02, 'e': 0.17906614791149322}",30,0,0.8407059654233047,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
173,False,"{'a': 0.02, 'e': 0.17728440996987782}",25,5,-15.597725385129031,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.02, 'e': 0.17552040061699686}",20,9,6.9995498961029625,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.02, 'e': 0.17377394345044514}",20,8,-15.147065950477874,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
176,False,"{'a': 0.02, 'e': 0.17204486382305054}",20,0,-16.29855196259536,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
177,False,"{'a': 0.02, 'e': 0.17033298882540943}",30,0,31.49764993288993,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.02, 'e': 0.1686381472685955}",30,6,25.513603821193783,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.02, 'e': 0.1669601696670407}",25,2,-24.28860684819874,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
180,False,"{'a': 0.02, 'e': 0.16529888822158653}",20,14,-29.786677057272072,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.02, 'e': 0.16365413680270405}",20,13,16.400996363979417,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.02, 'e': 0.16202575093388075}",25,0,34.08020016064853,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
